,_id,id,title,release_date,genres,vote_average,popularity,vote_count,imdb_id,tmdbId
0,0,588,Silent Hill,2006,Horror-Mystery,6.3,7.938457,1093.0,384537,588.0
1,1,655,"Paris, Texas",1984,Drama,7.7,11.635837,282.0,87884,655.0
2,2,671,Harry Potter and the Philosopher's Stone,2001,Adventure-Fantasy-Family,7.5,38.187238,7188.0,241527,671.0
3,3,691,The Spy Who Loved Me,1977,Adventure-Action-Thriller,6.6,9.781451,515.0,76752,691.0
4,4,830,Forbidden Planet,1956,Adventure-Science Fiction-Action,7.2,6.379966,238.0,49223,830.0
5,5,890,Brother of Sleep,1995,Drama,6.8,0.751733,6.0,114354,890.0
6,6,985,Eraserhead,1977,Drama-Fantasy-Horror-Science Fiction,7.5,7.871001,500.0,74486,985.0
7,7,1251,Letters from Iwo Jima,2006,Action-Adventure-Drama-War,7.2,11.649588,553.0,498380,1251.0
8,8,2093,Amsterdamned,1988,Action-Horror-Thriller,5.5,1.965789,25.0,94651,2093.0
9,9,2109,Rush Hour,1998,Action-Comedy-Crime-Thriller,6.8,11.840557,1254.0,120812,2109.0
10,10,2164,Stargate,1994,Action-Adventure-Science Fiction,6.8,13.328924,942.0,111282,2164.0
11,11,4928,"The World, the Flesh and the Devil",1959,Drama-Science Fiction,5.8,1.441529,16.0,53454,4928.0
12,12,6933,One Missed Call,2008,Horror-Mystery-Thriller,4.7,11.104479,174.0,479968,6933.0
13,13,9044,Tristan & Isolde,2006,Drama,6.4,15.672195,240.0,375154,9044.0
14,14,9321,The Polar Bear,1998,Action-Thriller,5.9,1.2007376,12.0,167132,9321.0
15,15,9331,Clear and Present Danger,1994,Action-Drama-Thriller,6.4,7.513245,390.0,109444,9331.0
16,16,9588,Quigley Down Under,1990,Romance-Action-Adventure-Western-Drama,6.5,12.620366,120.0,102744,9588.0
17,17,9623,The Juror,1996,Drama-Thriller,5.5,6.010579,91.0,116731,9623.0
18,18,10073,Date Movie,2006,Comedy,3.6,5.682129,225.0,466342,10073.0
19,19,10869,Herbie Rides Again,1974,Romance-Comedy-Family-Fantasy,5.9,4.914603,77.0,71607,10869.0
20,20,10875,The Fabulous Baker Boys,1989,Music-Drama-Romance,6.5,4.343506,79.0,97322,10875.0
21,21,11005,Awakenings,1990,Drama,7.6,13.201595,568.0,99077,11005.0
22,22,11027,The Postman Always Rings Twice,1981,Romance-Crime-Drama,6.4,8.049042,115.0,82934,11027.0
23,23,11287,A League of Their Own,1992,Comedy,6.8,10.852038,362.0,104694,11287.0
24,24,11396,The Last Adventure,1967,Romance-Adventure-Drama,6.4,1.2007376,15.0,61376,11396.0
25,25,11763,Bunty Aur Babli,2005,Music-Drama-Comedy-Crime-Romance,6.4,1.27801,16.0,448206,11763.0
26,26,11804,White Noise,2005,Drama-Horror-Thriller,5.6,6.143324,267.0,375210,11804.0
27,27,12495,The Singing Ringing Tree,1957,Fantasy-Family,6.1,1.2007376,13.0,52199,12495.0
28,28,12520,The Last Supper,1995,Comedy-Thriller-Crime-Drama,6.5,4.619915,82.0,113613,12520.0
29,29,13954,Alien Raiders,2008,Horror-Science Fiction-Thriller,5.1,8.091476,61.0,996979,13954.0
30,30,13971,Wild Child,2008,Comedy,6.4,10.420849,421.0,1024255,13971.0
31,31,14097,9th Company,2005,Drama-History-War-Action,6.8,9.586723,65.0,417397,14097.0
